earn,height1,height2,sex,race,hisp,ed,yearbn,height
NA,5,6,2,1,2,12,53,66
NA,5,4,1,2,2,12,50,64
50000,6,2,1,1,2,16,45,74
60000,5,6,2,1,2,16,32,66
30000,5,4,2,1,2,16,61,64
NA,5,5,2,1,2,17,33,65
50000,5,3,2,3,2,16,99,63
NA,5,8,2,2,2,18,36,68
51000,5,3,2,1,2,17,51,63
9000,5,4,2,1,2,15,64,64
29000,5,2,2,1,2,12,41,62
32000,6,1,1,1,2,17,44,73
2000,6,0,1,1,1,15,69,72
NA,6,0,1,1,2,99,37,72
27000,6,0,1,1,2,12,64,72
6530,5,10,1,1,2,16,25,70
0,5,3,2,1,2,14,40,63
30000,5,8,1,1,2,11,56,68
12000,5,8,1,1,2,12,63,68
NA,5,11,1,1,2,18,39,71
12000,5,5,2,1,2,12,39,65
NA,5,6,2,1,2,11,45,66
0,5,0,2,1,2,12,63,60
NA,5,5,2,1,2,12,49,65
NA,5,9,1,1,2,10,39,69
22000,5,6,2,1,2,16,55,66
NA,5,5,2,1,2,16,61,65
NA,5,11,1,1,2,14,68,71
17000,5,8,1,1,2,12,32,68
40000,5,8,2,1,2,14,61,68
44000,5,10,1,1,2,13,46,70
0,5,7,2,1,2,9,69,67
7000,5,4,2,2,2,12,35,64
53000,6,1,1,2,2,13,55,73
NA,5,4,2,2,2,12,67,64
5000,5,2,2,1,2,13,39,62
NA,5,4,2,1,2,12,99,64
14000,5,3,2,1,2,14,69,63
NA,5,9,1,1,2,14,54,69
5500,5,7,1,1,2,14,68,67
40000,5,6,2,1,2,12,49,66
34000,6,0,1,1,2,12,45,72
NA,5,3,2,2,2,12,67,63
NA,5,4,2,1,2,12,33,64
10000,5,3,2,2,2,12,55,63
0,5,8,1,1,2,11,69,68
27000,5,4,2,1,2,16,30,64
NA,6,1,1,1,2,14,46,73
NA,5,7,2,1,2,12,21,67
0,5,0,2,1,2,12,46,60
50000,6,0,1,1,2,16,52,72
0,5,8,2,1,2,12,35,68
41000,6,5,1,1,2,16,57,77
0,5,4,2,1,2,10,71,64
15000,5,4,2,1,2,14,65,64
25000,5,4,2,1,2,12,57,64
NA,5,3,2,1,2,16,18,63
75000,6,0,1,1,2,17,51,72
NA,5,8,1,2,2,16,28,68
27000,5,8,1,1,2,17,59,68
12000,5,4,2,1,2,12,64,64
NA,5,10,1,1,2,12,39,70
7500,5,1,2,1,2,14,12,61
NA,6,4,1,2,2,11,49,76
NA,5,5,2,1,2,12,44,65
NA,5,4,1,2,2,12,29,64
30000,5,7,2,2,2,14,59,67
21000,5,5,2,1,2,12,33,65
27000,5,4,2,1,2,14,64,64
NA,6,1,1,1,2,16,46,73
3000,5,7,2,1,2,15,25,67
25000,5,5,2,1,2,12,60,65
24000,5,5,2,1,2,12,49,65
32000,5,7,2,1,2,18,61,67
NA,NA,98,2,1,2,4,0,NA
NA,5,11,1,2,2,12,99,71
10000,5,8,2,1,2,17,60,68
0,5,10,2,1,2,12,33,70
11000,5,0,2,1,1,12,69,60
18700,5,5,2,1,2,13,58,65
20000,5,2,2,1,2,12,61,62
3500,6,0,1,1,2,10,72,72
NA,5,6,2,1,2,14,44,66
13000,5,7,1,2,2,8,34,67
NA,5,9,1,1,2,12,45,69
25000,5,10,1,1,2,12,25,70
21000,5,10,1,1,2,17,49,70
34000,5,8,2,1,2,17,41,68
NA,5,6,2,2,2,12,67,66
NA,5,1,2,2,2,12,60,61
6000,5,0,2,1,2,12,25,60
17000,5,11,1,1,2,12,62,71
NA,5,10,2,1,2,12,34,70
35000,5,11,1,1,2,12,58,71
4000,6,1,1,1,2,13,72,73
NA,5,4,2,1,2,16,68,64
14000,5,8,2,1,2,14,35,68
10000,5,6,2,1,2,12,33,66
NA,5,9,1,4,2,13,1,69
25000,5,9,1,1,2,16,61,69
0,5,3,2,1,2,8,27,63
NA,5,8,2,1,1,12,61,68
NA,5,10,1,1,2,18,30,70
16000,5,3,2,1,2,14,63,63
0,5,6,2,2,2,13,60,66
NA,5,6,2,1,2,12,57,66
0,5,4,2,1,2,12,64,64
16000,5,2,1,1,1,14,62,62
NA,5,6,2,1,2,18,23,66
16500,5,4,2,1,2,14,47,64
NA,5,8,1,1,2,12,17,68
4000,5,4,2,1,2,9,22,64
3840,5,7,2,1,2,9,38,67
NA,5,0,2,1,2,6,12,60
22000,5,11,1,1,2,12,51,71
200,5,0,2,1,2,16,37,60
26000,5,6,2,1,2,16,63,66
2500,5,6,2,1,2,15,69,66
17000,5,5,2,1,2,14,51,65
NA,5,3,2,1,2,16,55,63
8000,5,10,2,1,2,13,68,70
NA,5,8,1,1,2,12,59,68
0,5,5,2,1,2,13,27,65
12000,5,6,2,1,2,13,22,66
10000,5,2,2,1,2,12,43,62
NA,5,0,2,1,2,8,13,60
NA,6,4,1,1,2,16,39,76
10000,5,6,2,1,2,15,23,66
0,5,4,2,1,2,14,52,64
15000,6,0,1,1,2,12,51,72
NA,5,6,2,1,2,12,59,66
NA,5,2,2,1,2,8,8,62
NA,5,6,2,3,2,12,47,66
NA,5,9,1,2,2,11,17,69
NA,5,8,2,1,2,15,42,68
2400,5,7,2,1,1,8,51,67
30000,5,8,1,1,1,12,58,68
30000,5,10,1,1,2,12,57,70
10000,5,2,2,1,2,12,52,62
NA,5,10,1,1,2,18,47,70
5000,5,3,2,1,2,13,64,63
12000,5,6,2,1,2,13,27,66
20000,5,10,2,1,2,10,29,70
20000,5,8,2,1,2,12,54,68
20000,5,10,1,1,2,14,67,70
NA,5,5,2,1,2,18,33,65
NA,5,8,2,1,2,8,8,68
0,5,6,2,1,2,12,31,66
NA,5,11,1,1,2,18,14,71
1200,5,6,2,1,2,12,70,66
NA,5,2,2,1,2,12,21,62
700,5,8,2,1,2,16,58,68
20000,5,10,1,1,2,16,63,70
10000,5,1,2,1,1,12,68,61
30000,5,3,2,1,2,12,17,63
NA,6,0,1,1,1,8,27,72
40000,5,4,2,1,2,14,34,64
25000,5,7,1,1,2,12,1,67
NA,5,6,2,1,2,18,25,66
NA,5,8,2,1,2,14,48,68
10000,5,1,2,1,2,17,11,61
60000,5,9,2,1,2,18,27,69
NA,5,2,2,1,2,12,34,62
0,5,4,2,1,2,12,69,64
18000,5,8,2,1,2,12,24,68
NA,5,0,2,1,2,12,16,60
NA,5,11,1,1,2,18,48,71
16040,5,4,2,1,2,12,57,64
15000,5,7,2,2,2,14,60,67
10000,5,9,1,1,2,17,67,69
33000,5,7,2,1,2,13,47,67
18000,5,8,2,1,2,12,60,68
15000,5,3,2,1,2,12,53,63
21000,5,11,1,1,2,12,68,71
21000,5,4,2,2,2,17,47,64
37000,5,8,1,1,2,11,53,68
38000,5,8,2,1,2,17,46,68
17000,5,6,2,1,1,14,47,66
0,5,6,2,1,2,12,61,66
0,5,6,2,3,2,16,58,66
NA,5,0,2,1,2,16,99,60
32000,6,5,1,1,2,16,60,77
NA,NA,NA,1,1,2,12,32,NA
27500,5,7,2,1,2,12,32,67
NA,5,6,1,1,2,12,14,66
16500,5,2,2,1,2,12,46,62
NA,5,3,2,1,2,13,99,63
0,5,4,2,1,2,17,60,64
0,6,0,2,1,2,12,39,72
25000,5,7,2,1,2,18,55,67
27000,5,1,2,1,2,18,47,61
5000,5,4,2,1,2,12,62,64
NA,5,10,1,4,2,14,54,70
70000,5,2,2,1,2,16,52,62
5000,5,3,2,1,2,12,50,63
5000,5,8,1,1,2,16,66,68
NA,5,9,1,3,2,18,60,69
NA,5,4,2,2,2,12,31,64
20000,5,4,2,1,2,15,64,64
4000,6,0,1,1,2,15,69,72
NA,6,0,1,1,2,12,51,72
60000,5,4,2,1,2,16,55,64
5000,5,1,2,1,2,13,59,61
30000,6,2,1,1,2,12,52,74
70000,5,10,1,1,2,14,55,70
NA,5,4,2,1,2,16,30,64
50000,5,11,1,1,2,16,49,71
44000,5,3,2,1,2,12,51,63
NA,NA,NA,2,1,2,18,99,NA
NA,6,1,1,1,2,18,50,73
NA,5,7,1,1,2,17,60,67
30000,5,4,2,1,2,14,47,64
NA,6,1,1,2,2,14,66,73
NA,5,4,2,1,2,16,62,64
NA,5,3,2,1,2,15,59,63
0,5,2,2,1,2,16,58,62
10000,5,2,2,1,2,16,50,62
23000,5,10,2,1,2,17,48,70
0,5,2,2,1,2,12,51,62
45000,5,11,1,1,2,17,28,71
15000,5,11,1,1,2,14,59,71
NA,5,11,1,1,2,17,57,71
4000,5,10,2,1,2,14,19,70
17000,5,7,1,1,2,14,59,67
30000,5,4,2,1,2,12,58,64
27500,5,7,2,1,2,12,60,67
5688,5,2,2,1,2,8,21,62
18000,5,2,2,1,1,13,34,62
NA,5,7,1,1,2,14,54,67
NA,5,6,2,1,2,17,58,66
NA,5,4,2,1,2,12,27,64
43000,5,8,1,2,2,13,46,68
32000,5,2,2,2,2,14,46,62
NA,5,2,2,2,2,12,70,62
0,5,6,2,2,2,5,39,66
10000,5,8,2,2,2,18,34,68
NA,5,5,2,1,1,12,52,65
NA,6,2,1,1,2,12,70,74
NA,NA,NA,2,9,9,16,99,NA
60000,6,2,1,1,2,13,45,74
NA,5,8,1,1,2,18,24,68
NA,5,10,1,1,2,16,60,70
NA,5,11,1,1,2,15,67,71
21000,5,8,2,4,2,12,40,68
2400,5,2,2,1,2,16,68,62
NA,5,8,2,1,2,10,40,68
NA,5,2,2,2,2,15,48,62
1000,5,6,2,1,2,15,62,66
27000,5,8,1,1,2,12,63,68
6600,5,0,2,1,1,14,62,60
NA,5,4,2,2,2,11,39,64
16000,5,8,1,1,2,8,47,68
90000,6,0,1,1,2,12,64,72
8000,5,6,2,1,2,12,48,66
20000,5,8,1,1,2,10,58,68
15000,5,8,2,1,2,12,72,68
12000,5,9,2,1,2,12,30,69
NA,5,3,2,1,2,9,23,63
24000,5,4,2,1,2,16,44,64
20000,5,5,2,1,2,14,51,65
NA,4,11,2,1,2,8,8,59
19000,5,1,2,1,2,12,44,61
NA,5,11,1,1,2,8,37,71
10000,6,0,1,1,2,12,41,72
40000,5,6,2,1,2,16,56,66
NA,5,9,1,1,2,18,46,69
NA,5,9,1,2,2,8,55,69
NA,5,3,2,2,2,13,52,63
NA,5,4,2,1,1,12,54,64
0,5,2,2,1,2,10,33,62
0,5,0,2,1,1,10,42,60
NA,5,2,2,1,2,8,2,62
25000,5,8,1,1,2,14,26,68
25000,5,10,1,1,2,12,66,70
25000,5,11,1,1,2,14,58,71
19000,5,11,1,1,2,16,29,71
44000,5,8,1,1,2,16,42,68
0,5,6,2,1,2,12,71,66
0,5,3,2,1,2,18,35,63
15000,5,0,2,1,2,14,41,60
17000,5,3,2,1,2,12,54,63
24000,5,8,1,1,2,12,34,68
NA,5,10,1,1,2,16,52,70
23000,5,4,2,1,2,12,53,64
13000,5,10,1,1,2,12,16,70
NA,5,6,2,2,2,98,18,66
NA,5,6,2,1,2,12,41,66
65000,5,8,1,1,2,16,44,68
7000,5,1,2,1,2,12,27,61
NA,5,7,2,1,2,16,57,67
40000,5,8,1,1,2,18,27,68
15000,5,6,2,1,2,17,47,66
20000,5,10,1,1,2,16,65,70
NA,5,8,1,1,2,6,13,68
NA,5,6,2,1,2,14,16,66
20000,5,11,1,1,2,12,40,71
NA,5,3,1,1,2,9,23,63
20000,5,5,2,1,2,12,48,65
25000,5,6,2,1,2,12,41,66
NA,5,4,2,1,2,14,70,64
49000,5,10,1,1,2,13,53,70
NA,5,10,1,1,2,8,66,70
0,5,4,2,1,2,12,54,64
NA,5,4,2,1,2,16,61,64
0,5,3,2,1,2,16,55,63
25000,5,2,2,1,2,12,25,62
NA,5,5,2,1,2,12,23,65
NA,5,6,2,1,2,12,28,66
NA,5,5,2,1,2,14,27,65
NA,5,0,2,1,2,16,18,60
11000,5,6,2,1,2,14,33,66
16000,5,1,2,1,2,15,52,61
35000,6,0,1,1,2,14,47,72
125000,6,2,1,1,2,18,45,74
23000,5,7,2,1,2,12,43,67
17000,5,6,2,1,2,16,62,66
0,5,2,2,1,2,13,59,62
27000,5,2,2,1,2,12,49,62
70000,6,0,1,1,2,14,58,72
35000,5,5,2,1,2,15,43,65
10000,5,0,2,1,2,12,28,60
NA,5,4,2,1,2,13,60,64
35000,5,2,2,1,2,15,51,62
15000,5,6,2,1,2,12,52,66
12000,5,4,2,1,2,12,51,64
8000,5,11,1,1,2,12,22,71
8000,5,5,2,1,2,12,40,65
35000,6,1,1,1,2,18,40,73
45000,5,9,1,1,2,11,39,69
NA,5,5,2,1,2,12,53,65
0,5,4,2,1,2,12,32,64
NA,5,4,2,1,2,12,63,64
NA,5,8,2,1,2,12,32,68
15000,5,4,2,1,2,14,68,64
15000,5,1,2,1,2,12,13,61
NA,6,1,1,1,2,15,64,73
24000,5,7,2,1,2,18,39,67
25000,5,2,2,1,2,13,58,62
NA,6,1,1,1,2,12,56,73
25000,5,3,2,2,2,14,36,63
20000,5,7,1,3,2,10,62,67
24000,5,8,2,1,2,12,66,68
44000,6,0,1,1,2,16,44,72
69000,5,10,1,1,2,12,52,70
62000,5,10,1,1,2,18,46,70
NA,5,0,2,2,2,15,25,60
32000,5,7,1,2,2,14,58,67
20000,5,3,2,2,2,12,57,63
32000,5,6,2,3,2,18,55,66
25000,5,6,2,1,2,17,40,66
170000,5,11,1,1,2,18,45,71
NA,5,9,1,2,2,14,47,69
0,5,6,2,2,2,11,61,66
35000,5,7,1,1,2,16,57,67
40000,6,4,1,2,2,16,52,76
33000,5,9,1,1,2,14,60,69
18000,5,5,2,1,2,12,68,65
NA,5,8,1,1,2,12,38,68
NA,5,1,2,1,2,9,18,61
30000,5,2,2,1,2,13,47,62
26000,5,2,2,1,2,12,59,62
5000,5,2,2,1,2,12,69,62
NA,5,9,2,1,2,12,72,69
20000,5,2,2,1,2,16,17,62
NA,6,0,1,1,2,11,60,72
NA,5,7,2,1,2,12,49,67
17000,5,1,2,1,2,12,60,61
32000,5,5,2,1,2,14,62,65
15000,6,0,1,1,2,14,68,72
0,5,6,2,1,2,17,49,66
50000,6,0,1,1,2,14,35,72
8000,5,4,2,1,2,12,51,64
40000,5,11,1,1,2,14,39,71
40000,6,0,1,1,2,15,49,72
32750,5,6,1,1,2,12,56,66
NA,5,8,1,1,2,12,70,68
20000,5,5,2,1,2,14,21,65
36000,5,5,2,2,2,15,51,65
6000,5,2,2,1,2,12,26,62
12000,5,6,2,2,1,14,56,66
NA,5,7,1,1,2,18,52,67
60000,5,7,1,1,2,14,27,67
40000,5,4,2,1,2,13,46,64
NA,6,2,1,1,1,13,71,74
43000,5,3,2,1,2,12,52,63
45000,5,7,2,1,2,16,56,67
6000,5,8,2,1,2,18,51,68
8000,5,4,2,4,2,10,8,64
20000,5,4,2,2,2,13,51,64
NA,5,6,2,1,2,7,8,66
17000,5,6,1,2,2,12,67,66
2000,5,5,2,1,2,12,58,65
65000,5,5,1,1,2,12,62,65
50000,6,0,1,1,2,12,49,72
0,5,8,2,1,2,11,36,68
0,5,3,2,1,2,11,61,63
NA,5,10,1,1,2,13,69,70
11000,5,8,2,1,2,12,52,68
35000,6,2,1,1,2,18,60,74
27000,5,3,1,1,2,12,57,63
3500,5,4,2,1,2,12,29,64
NA,5,5,2,1,2,7,13,65
42000,5,8,1,1,2,12,53,68
NA,5,1,2,1,2,12,29,61
20000,5,7,2,1,2,18,61,67
15000,5,7,2,1,2,12,61,67
10000,6,1,1,1,2,12,69,73
0,5,2,2,1,2,12,42,62
6000,5,10,1,1,2,8,12,70
NA,5,9,2,1,2,14,29,69
NA,5,11,1,1,2,12,10,71
17000,5,5,2,1,1,16,67,65
NA,5,2,2,1,1,8,67,62
35000,5,9,1,1,1,16,25,69
28000,6,5,1,1,2,14,62,77
15000,5,8,2,1,2,12,57,68
20000,5,2,2,1,2,17,66,62
20000,5,4,2,1,2,12,61,64
NA,5,10,1,1,1,18,60,70
10500,5,7,1,3,1,12,48,67
13000,5,10,1,1,2,16,68,70
10000,5,2,2,1,2,12,38,62
3000,5,3,2,1,2,12,53,63
24000,5,2,2,1,2,14,61,62
0,5,3,2,1,2,17,49,63
17000,5,9,2,1,2,13,55,69
11000,5,4,2,1,2,12,42,64
0,5,4,2,1,2,14,53,64
32000,5,9,2,1,2,14,50,69
17000,4,11,2,1,2,15,64,59
NA,5,1,2,1,2,16,43,61
NA,5,0,2,1,2,12,15,60
NA,6,0,1,1,2,12,41,72
NA,5,8,1,1,2,14,35,68
3000,5,6,2,4,2,12,55,66
NA,5,3,2,1,2,8,30,63
0,5,5,2,1,2,12,49,65
NA,5,10,1,1,2,18,32,70
NA,6,0,1,1,2,14,42,72
2100,5,2,2,2,2,12,69,62
NA,5,10,1,2,2,10,8,70
NA,5,0,2,1,2,13,14,60
NA,5,6,2,2,2,12,61,66
NA,5,4,1,1,1,12,56,64
NA,5,11,1,1,2,16,67,71
NA,6,1,1,2,2,12,63,73
3192,6,3,1,2,2,11,56,75
NA,5,2,2,3,2,12,65,62
17000,5,3,2,1,2,17,64,63
30000,5,5,2,1,2,13,62,65
15000,5,10,1,1,2,12,58,70
NA,5,4,2,1,2,16,64,64
NA,5,8,1,3,2,18,56,68
24000,5,8,2,1,2,16,48,68
10000,5,5,2,1,2,14,23,65
50000,5,9,1,1,2,8,37,69
NA,5,4,2,1,2,11,13,64
50000,6,0,1,1,2,16,37,72
NA,5,9,1,1,2,12,52,69
20000,5,4,2,1,2,17,41,64
30000,5,3,2,1,1,18,36,63
NA,5,8,2,1,2,18,54,68
NA,5,8,2,1,2,18,49,68
0,5,4,2,1,2,12,27,64
0,5,6,2,1,2,10,42,66
NA,5,10,1,1,2,12,53,70
0,5,3,2,1,2,5,32,63
22000,6,1,2,1,2,14,45,73
NA,5,9,1,1,2,12,70,69
27000,6,3,1,1,2,12,66,75
4000,5,5,2,1,2,12,52,65
NA,5,4,2,1,2,16,49,64
17500,5,6,2,1,2,17,64,66
16500,5,6,2,1,2,14,62,66
NA,5,4,2,1,2,18,53,64
28000,5,4,2,1,2,16,51,64
52000,5,6,2,1,2,18,40,66
15000,5,4,2,1,2,16,61,64
19000,5,3,2,1,2,13,58,63
0,5,3,2,1,2,13,46,63
NA,5,7,2,2,2,12,71,67
NA,5,9,2,1,2,12,56,69
27000,6,1,1,1,2,12,67,73
15000,6,0,1,1,2,8,32,72
NA,5,3,2,1,2,12,48,63
0,5,6,2,1,2,12,66,66
15000,6,0,1,1,2,14,57,72
14500,5,4,2,1,2,12,35,64
NA,6,0,1,1,2,16,50,72
NA,5,3,2,1,2,12,35,63
24000,5,4,2,1,2,13,60,64
NA,5,5,2,1,2,14,60,65
NA,5,2,2,1,2,13,50,62
NA,5,1,2,1,2,12,72,61
18000,5,8,1,1,2,15,54,68
4000,5,2,2,1,2,12,22,62
NA,5,4,2,1,2,12,5,64
4000,5,9,2,1,2,13,33,69
NA,5,6,2,1,2,15,37,66
700,5,0,2,1,2,12,54,60
NA,5,4,2,1,2,15,57,64
24000,5,5,2,1,2,12,99,65
NA,5,0,2,1,2,12,30,60
27000,6,4,1,1,2,12,51,76
12000,6,0,2,1,2,12,55,72
22000,5,2,2,1,2,18,43,62
30000,5,2,2,1,2,13,54,62
NA,5,10,1,1,2,16,55,70
35000,5,11,1,1,2,12,29,71
20000,6,2,1,1,2,12,48,74
32000,5,5,2,1,2,16,58,65
6000,5,3,2,4,2,12,59,63
12000,5,7,2,1,2,12,51,67
0,5,5,2,1,2,16,46,65
10000,5,3,2,1,2,12,59,63
1000,5,5,2,1,2,12,72,65
12000,5,4,2,1,2,15,19,64
16000,5,5,2,1,2,12,54,65
NA,5,3,2,1,2,13,63,63
0,5,8,2,1,2,16,49,68
25000,5,3,2,1,2,16,57,63
25000,5,10,2,1,2,12,63,70
32000,5,8,1,1,2,12,60,68
NA,5,6,1,1,2,11,11,66
35000,5,7,1,1,2,14,47,67
NA,5,8,1,1,2,12,66,68
NA,5,6,2,1,2,12,67,66
6000,5,5,2,1,2,12,62,65
80000,5,9,1,1,2,14,46,69
20000,5,8,2,1,2,14,65,68
1000,5,6,2,1,2,17,52,66
28000,5,11,1,1,1,13,52,71
26000,5,4,1,1,1,16,67,64
27000,6,2,1,1,2,12,66,74
18000,5,2,2,1,2,13,49,62
2000,5,5,2,1,2,12,31,65
20000,5,9,1,1,2,12,24,69
NA,NA,98,2,2,2,12,29,NA
NA,6,0,1,2,2,12,71,72
NA,5,5,1,1,2,11,59,65
6000,5,6,2,1,2,16,42,66
NA,5,10,1,1,2,11,58,70
NA,5,1,2,1,2,12,16,61
0,5,0,2,1,2,10,22,60
NA,5,10,1,1,2,12,71,70
NA,6,1,2,1,2,11,69,73
NA,5,6,2,1,2,12,16,66
NA,4,9,2,1,1,12,54,57
25000,5,7,1,1,2,11,27,67
12000,6,1,1,1,2,12,61,73
0,5,5,2,1,2,18,64,65
NA,5,2,2,1,2,12,45,62
12000,6,4,1,1,2,12,33,76
30000,5,10,1,1,2,14,14,70
0,5,4,2,1,2,12,60,64
4000,5,3,2,2,2,15,68,63
NA,5,7,2,2,2,11,72,67
26000,5,3,2,2,2,13,53,63
NA,5,9,2,1,2,9,37,69
NA,5,7,2,1,2,9,67,67
NA,5,6,2,2,2,12,60,66
NA,5,1,2,2,2,12,65,61
23000,5,10,1,2,2,12,55,70
21000,5,11,1,1,2,12,57,71
25000,5,5,2,1,2,12,28,65
18000,5,10,1,1,2,16,15,70
4000,5,3,2,1,2,13,46,63
23900,5,4,2,1,2,12,68,64
NA,5,8,1,1,2,12,22,68
35000,5,4,2,1,2,18,50,64
26000,5,7,1,1,2,14,60,67
25000,5,6,1,1,2,16,54,66
23500,5,8,2,1,2,13,63,68
12000,5,5,2,1,2,12,68,65
15000,5,7,2,1,2,12,70,67
NA,5,1,2,1,2,8,23,61
3000,6,1,1,1,2,17,67,73
NA,5,3,2,1,2,12,22,63
NA,5,6,2,1,2,12,53,66
6000,5,4,2,1,2,12,23,64
14000,5,11,1,1,2,12,21,71
15000,5,3,2,1,2,16,59,63
175000,5,11,1,1,2,16,42,71
0,5,3,2,1,2,12,39,63
NA,5,4,2,1,2,16,20,64
1000,6,1,1,1,2,18,65,73
10000,5,5,2,1,2,14,27,65
45000,5,6,1,1,2,13,8,66
15000,5,6,2,1,2,12,9,66
NA,5,0,2,1,2,15,11,60
NA,5,8,2,1,2,18,38,68
20000,4,11,2,1,2,13,49,59
NA,5,10,1,1,2,12,48,70
NA,5,2,2,1,2,15,99,62
35000,5,10,1,1,2,16,60,70
40000,6,0,1,1,2,16,62,72
35000,5,4,2,1,2,12,18,64
NA,6,0,1,1,2,12,57,72
50000,5,6,2,1,2,16,36,66
100000,5,10,1,1,2,18,33,70
NA,5,3,2,1,2,12,60,63
35000,5,9,1,1,2,13,62,69
0,5,6,2,1,2,12,39,66
24000,5,8,2,1,2,12,55,68
0,5,4,2,1,2,12,60,64
NA,5,7,2,1,2,14,55,67
NA,5,0,2,1,2,16,18,60
0,5,3,2,1,2,12,30,63
35000,6,2,1,1,2,17,47,74
NA,5,1,2,1,2,18,23,61
38000,6,1,1,1,2,16,16,73
NA,5,10,1,1,2,13,61,70
NA,6,1,1,1,2,13,44,73
NA,5,2,2,1,2,12,71,62
NA,5,0,2,1,2,8,14,60
30000,5,7,1,1,2,12,38,67
5000,5,4,2,1,1,12,51,64
148000,5,7,1,1,2,18,52,67
30000,5,10,1,1,2,12,58,70
6500,5,4,2,1,2,15,59,64
3000,5,2,2,1,2,16,53,62
NA,6,0,1,1,2,15,15,72
0,5,6,2,1,2,8,37,66
23000,5,9,1,1,2,18,21,69
NA,5,4,2,1,2,16,34,64
NA,5,3,2,1,2,14,11,63
NA,6,10,1,1,2,18,25,82
NA,5,3,2,1,2,16,54,63
40000,5,8,1,1,2,17,49,68
30000,6,0,1,1,2,14,51,72
0,5,3,2,1,2,14,61,63
14000,5,3,2,1,2,12,53,63
15000,5,9,2,1,2,12,56,69
26000,5,4,2,1,2,18,54,64
8000,5,11,2,1,2,12,65,71
24000,5,4,2,2,2,16,63,64
0,6,0,1,1,2,8,70,72
0,5,2,2,1,2,12,65,62
0,5,6,2,1,2,10,52,66
NA,6,0,1,1,2,12,50,72
5124,5,6,1,1,2,8,23,66
10000,5,1,2,1,2,15,65,61
NA,5,4,2,1,2,7,52,64
NA,5,2,2,2,2,13,70,62
0,5,9,2,1,2,13,71,69
12000,5,8,2,1,2,16,58,68
NA,5,6,2,1,2,12,67,66
0,5,6,2,1,2,12,67,66
NA,5,10,1,1,2,16,52,70
50000,5,8,1,1,2,17,56,68
NA,5,11,1,1,2,16,49,71
23000,5,4,2,1,2,13,64,64
0,5,1,2,1,2,16,50,61
NA,5,8,2,1,2,12,21,68
NA,5,3,2,1,2,9,21,63
NA,5,5,2,1,2,12,99,65
NA,5,4,2,1,2,12,72,64
NA,5,5,2,1,2,12,52,65
NA,5,4,2,1,2,14,71,64
40000,5,6,1,2,2,14,56,66
6000,5,2,2,2,2,13,64,62
NA,5,11,1,1,2,18,13,71
5000,5,5,2,2,2,16,60,65
NA,5,4,2,1,2,8,38,64
NA,5,6,2,1,2,12,19,66
NA,5,0,2,2,2,12,64,60
110000,5,6,1,1,2,18,53,66
NA,5,1,2,1,2,13,53,61
41000,6,0,1,1,1,13,58,72
NA,5,10,2,1,2,12,35,70
23000,5,3,2,1,2,13,12,63
NA,5,8,2,1,2,14,12,68
0,5,3,2,1,2,12,58,63
21000,5,10,1,1,2,12,67,70
4000,5,2,2,1,2,12,61,62
