earn,height1,height2,sex,race,hisp,ed,yearbn,height
25000,5,11,1,1,2,12,54,71
30000,5,10,1,1,2,18,44,70
14000,5,4,2,1,2,11,39,64
6000,5,3,2,1,2,12,55,63
14000,5,5,2,1,2,12,44,65
43000,5,11,1,1,2,12,63,71
25000,5,2,2,1,2,15,57,62
40000,6,1,1,1,2,12,24,73
NA,5,4,2,1,2,16,17,64
65000,5,8,1,1,2,17,50,68
16000,6,4,1,1,2,15,58,76
NA,5,10,2,1,2,16,68,70
NA,6,1,1,1,2,16,25,73
NA,5,10,1,1,2,18,36,70
8000,5,6,2,1,2,12,19,66
20000,5,4,2,1,2,15,51,64
14000,5,0,2,1,2,14,18,60
45000,5,8,1,1,2,12,16,68
8000,5,1,2,1,2,11,18,61
NA,5,5,2,1,2,10,19,65
12000,5,6,1,1,2,12,62,66
8000,5,3,2,1,2,14,59,63
16000,5,3,2,1,2,15,58,63
NA,5,7,2,1,2,12,47,67
6000,6,2,1,1,2,15,17,74
NA,5,6,2,1,2,12,45,66
NA,5,2,2,1,2,13,52,62
19000,5,10,1,1,2,12,58,70
21000,5,8,2,1,2,13,51,68
43000,5,10,2,1,2,18,44,70
35000,5,9,1,1,2,15,69,69
8000,5,10,1,1,2,10,15,70
21000,5,3,2,1,2,14,49,63
5800,5,5,2,1,2,12,60,65
17000,5,9,1,1,2,12,44,69
NA,6,0,1,1,2,11,29,72
NA,5,5,2,1,2,12,48,65
24000,5,8,1,1,2,14,41,68
5000,5,2,2,1,2,11,19,62
NA,5,10,1,1,2,11,42,70
11000,5,6,2,1,2,12,67,66
10000,5,5,1,1,2,13,63,65
40000,5,10,1,1,2,14,54,70
0,5,6,2,2,2,12,53,66
NA,5,1,2,1,2,14,4,61
40000,5,10,1,1,2,12,43,70
24000,5,6,2,2,2,14,61,66
NA,5,5,2,1,2,12,10,65
NA,5,8,1,2,2,18,56,68
NA,5,8,2,1,2,12,65,68
24000,5,8,1,1,2,16,64,68
20000,5,8,1,1,2,16,57,68
NA,5,3,2,1,2,16,67,63
NA,5,10,1,1,2,18,51,70
60000,5,10,1,1,2,18,40,70
11000,5,5,2,1,2,13,43,65
5000,5,4,2,1,2,15,50,64
NA,5,6,2,1,1,12,18,66
NA,5,3,2,1,2,17,6,63
NA,5,9,1,1,2,18,51,69
27000,5,5,2,1,2,16,60,65
89000,6,5,1,1,2,16,49,77
40000,5,10,1,1,2,14,62,70
15000,5,4,2,1,2,16,64,64
1000,5,4,2,1,2,14,70,64
NA,5,9,1,1,2,12,22,69
0,5,2,2,1,2,12,62,62
22000,5,4,2,1,2,12,30,64
12000,5,4,2,1,2,8,42,64
22000,5,3,2,1,2,16,62,63
40000,4,10,2,2,2,12,34,58
NA,6,1,1,2,2,10,35,73
0,5,6,2,1,2,12,32,66
NA,5,4,2,1,2,16,50,64
40000,5,2,2,1,2,16,46,62
0,5,1,2,1,2,13,48,61
35000,5,4,2,1,1,14,37,64
7000,5,4,2,1,2,12,62,64
NA,5,10,1,1,2,14,50,70
14000,5,2,2,1,2,12,53,62
NA,5,2,2,1,2,12,70,62
15000,5,4,2,1,2,12,34,64
NA,5,4,2,1,2,14,38,64
0,5,6,2,2,2,14,59,66
6000,5,6,2,1,2,13,56,66
11000,5,9,2,2,2,12,49,69
NA,5,4,2,1,2,12,14,64
10000,5,4,2,1,2,13,59,64
0,5,2,2,1,2,12,31,62
NA,5,2,2,1,2,12,58,62
20000,5,11,1,1,2,14,49,71
NA,4,11,2,1,2,12,34,59
7000,5,2,2,1,2,12,17,62
38000,5,8,1,1,2,9,44,68
29000,5,8,1,1,2,9,32,68
20000,5,2,2,1,2,10,46,62
8000,5,3,2,1,2,12,33,63
36000,5,9,1,1,2,16,39,69
1500,5,7,2,1,2,12,46,67
42000,5,4,2,1,2,18,61,64
NA,5,8,2,1,2,17,46,68
25000,5,10,1,1,2,12,68,70
NA,5,2,2,1,2,16,49,62
NA,6,4,1,1,2,9,72,76
13000,5,9,1,1,2,10,70,69
NA,5,6,2,1,2,11,26,66
NA,5,6,2,1,2,12,19,66
NA,5,4,2,1,2,12,38,64
NA,6,0,1,4,2,15,41,72
30000,5,9,1,2,2,11,39,69
7000,5,9,1,1,2,12,67,69
NA,5,2,2,2,2,12,8,62
31000,5,0,2,2,2,12,42,60
15000,5,6,2,2,2,12,48,66
0,5,0,2,1,2,18,49,60
50000,5,7,1,1,2,16,41,67
NA,5,7,2,1,1,11,72,67
5000,5,6,1,1,2,15,70,66
NA,5,5,2,9,2,16,34,65
600,5,10,2,2,2,12,72,70
14000,5,4,2,2,2,8,39,64
NA,5,6,2,2,2,12,15,66
40000,5,0,2,3,2,18,55,60
24000,5,8,1,1,2,18,54,68
NA,5,6,2,2,2,12,31,66
22000,6,1,1,2,2,12,66,73
20000,6,0,1,1,2,8,54,72
20112,5,4,2,1,2,12,52,64
12000,5,7,1,1,2,13,23,67
NA,5,11,1,2,2,8,53,71
NA,5,10,1,1,2,18,21,70
NA,5,6,2,1,2,8,46,66
41000,5,7,2,1,2,13,50,67
13000,5,11,1,2,2,9,40,71
0,5,3,2,1,2,12,65,63
60000,6,1,1,1,2,16,59,73
24000,5,10,1,1,2,16,65,70
38000,5,10,1,1,2,16,54,70
3000,5,11,2,1,2,14,63,71
13000,5,6,2,1,2,12,60,66
5000,6,3,1,1,2,12,69,75
20000,5,0,2,1,2,14,53,60
22000,6,0,1,1,2,12,62,72
NA,5,10,2,1,2,14,50,70
0,5,3,2,2,2,16,67,63
28000,6,3,1,2,2,9,35,75
22000,5,0,2,1,2,12,49,60
30000,6,1,1,2,2,12,46,73
NA,5,5,1,2,2,6,20,65
30000,5,5,2,2,2,12,58,65
NA,5,3,2,1,2,17,27,63
NA,5,8,2,2,2,12,41,68
30000,5,7,1,1,2,16,59,67
32000,5,1,2,1,2,12,21,61
26000,5,9,2,1,2,17,47,69
22000,5,4,2,1,2,14,56,64
NA,5,2,2,1,2,14,18,62
25000,5,10,1,1,2,12,57,70
11000,5,8,2,1,2,10,66,68
NA,5,7,1,1,2,12,57,67
13000,5,2,2,1,2,12,37,62
10000,5,4,2,1,2,15,48,64
0,5,8,2,1,2,12,66,68
NA,6,0,1,1,2,16,58,72
12000,5,8,2,1,2,12,45,68
NA,5,4,2,1,2,17,52,64
0,5,6,1,1,2,13,33,66
7000,5,4,2,1,2,11,26,64
57000,6,1,1,1,2,14,53,73
36000,6,1,1,1,2,16,53,73
29000,5,9,1,1,1,14,61,69
8000,5,8,2,1,2,13,71,68
3000,5,11,1,2,2,11,72,71
0,5,3,2,1,2,12,26,63
NA,5,0,2,1,2,17,51,60
20000,5,6,2,1,2,16,49,66
0,5,6,2,1,2,12,54,66
33000,5,6,1,1,2,12,33,66
15000,5,8,2,1,1,12,22,68
16000,5,10,1,1,2,12,57,70
5000,5,2,2,1,2,12,12,62
8000,5,6,2,1,2,14,47,66
32000,5,3,2,2,2,16,56,63
14500,6,3,1,1,2,12,66,75
13000,5,7,2,1,2,12,61,67
NA,5,8,1,1,2,16,63,68
NA,5,0,2,2,2,12,56,60
0,5,2,2,1,2,10,70,62
NA,5,10,2,1,2,11,33,70
7000,5,3,2,1,2,9,65,63
50000,5,5,2,2,2,18,25,65
12000,5,9,2,2,2,12,55,69
19000,5,11,1,1,2,14,29,71
NA,5,7,2,1,2,10,30,67
9000,5,2,2,1,2,12,35,62
NA,5,4,2,1,2,12,52,64
20000,5,5,2,2,2,12,55,65
55000,6,0,1,1,1,18,55,72
NA,5,8,2,1,2,14,30,68
NA,5,2,2,2,2,12,19,62
NA,6,3,1,1,2,18,59,75
10000,5,5,2,1,2,12,50,65
NA,5,2,2,1,2,16,30,62
NA,5,5,2,1,2,12,23,65
13000,5,3,2,1,2,12,71,63
NA,5,6,2,1,2,18,60,66
20000,5,4,2,1,2,13,59,64
NA,5,8,2,1,2,16,61,68
30000,6,0,1,1,2,12,64,72
12000,5,4,2,1,2,12,56,64
26000,5,10,2,1,2,13,57,70
12500,5,5,2,1,2,12,63,65
8000,5,4,2,1,2,12,61,64
15000,5,4,2,1,1,16,58,64
65000,5,7,1,1,2,14,65,67
25000,6,1,1,1,2,10,69,73
8000,6,1,1,1,1,14,69,73
15000,5,5,1,3,2,14,69,65
12000,5,4,2,1,2,16,50,64
NA,6,0,1,1,2,12,48,72
35000,5,7,2,2,2,13,53,67
40000,5,7,1,1,2,16,59,67
NA,5,6,2,1,1,14,66,66
29000,6,2,1,1,2,12,68,74
NA,5,2,2,1,2,12,24,62
NA,5,0,2,1,2,10,16,60
NA,5,4,2,1,2,12,57,64
15000,5,3,2,1,2,13,59,63
20000,6,2,1,1,2,12,54,74
3000,6,2,1,2,2,6,28,74
1000,5,3,2,2,2,16,71,63
8000,5,2,2,2,2,11,67,62
5000,5,2,2,1,2,12,72,62
25000,5,7,2,1,2,16,63,67
NA,6,3,1,1,2,13,68,75
20000,5,9,1,1,2,12,33,69
NA,5,5,2,1,2,12,64,65
30000,6,1,1,1,2,12,56,73
12000,5,3,2,1,2,12,55,63
NA,4,11,2,1,2,11,10,59
0,5,0,2,1,2,12,56,60
NA,5,5,2,1,2,14,52,65
NA,5,4,1,2,2,14,56,64
NA,5,4,2,2,2,10,31,64
NA,5,6,2,1,2,15,38,66
NA,5,4,2,1,2,18,12,64
10000,5,7,2,1,2,14,58,67
16000,5,9,1,1,2,12,71,69
45000,5,11,1,1,2,12,61,71
40000,6,0,1,1,2,14,36,72
NA,6,0,1,1,2,12,64,72
0,5,3,2,1,2,12,28,63
NA,5,6,2,1,2,13,57,66
25000,5,10,1,1,2,14,9,70
19000,5,4,2,1,2,14,38,64
17600,5,4,2,1,2,16,60,64
7000,5,8,1,1,2,12,23,68
30000,6,2,1,1,2,12,58,74
18000,5,2,2,1,2,11,43,62
NA,5,3,2,1,1,8,49,63
25000,5,5,2,1,2,16,43,65
0,5,6,2,1,2,14,35,66
6000,5,0,2,1,2,5,28,60
70000,5,9,1,1,2,18,48,69
15000,5,1,2,3,2,16,56,61
NA,5,8,1,1,2,12,29,68
25000,5,5,2,1,2,17,57,65
35000,5,6,2,1,2,16,62,66
18000,5,10,1,1,2,16,66,70
28000,6,0,1,2,2,15,60,72
NA,5,6,2,1,2,12,41,66
NA,5,7,1,1,1,12,67,67
15000,5,4,2,1,1,11,69,64
22000,5,11,1,1,1,14,62,71
0,5,3,2,1,2,12,61,63
35000,6,1,1,1,2,12,60,73
18000,5,4,2,2,2,15,44,64
35000,5,8,1,1,2,14,53,68
16400,5,4,2,2,2,12,69,64
22000,5,6,1,2,2,16,53,66
30000,5,7,2,1,2,16,32,67
17000,5,4,2,1,1,12,63,64
25000,5,4,2,2,2,14,54,64
10000,5,2,2,1,2,12,39,62
40000,5,9,1,1,2,12,53,69
12500,5,3,2,1,2,12,27,63
NA,5,2,2,1,2,12,16,62
NA,5,3,2,1,2,12,13,63
NA,5,3,2,1,2,12,60,63
35000,6,0,1,1,2,15,45,72
0,5,1,2,9,1,16,67,61
105000,6,3,1,1,2,12,41,75
NA,5,11,1,1,2,12,63,71
100000,5,10,1,1,2,18,50,70
NA,5,0,2,1,2,12,29,60
21000,5,9,1,1,2,12,39,69
10000,5,4,2,1,2,14,34,64
33000,6,0,1,1,2,12,64,72
26000,5,9,1,1,2,18,65,69
60000,5,3,2,1,2,10,12,63
NA,5,6,2,1,2,16,39,66
NA,5,4,2,1,2,16,6,64
18000,5,11,1,1,2,16,45,71
NA,5,4,2,1,2,12,19,64
15000,4,11,2,1,2,8,29,59
5000,5,8,1,1,2,13,70,68
NA,6,3,1,1,2,16,34,75
60000,6,5,1,1,2,17,48,77
12000,5,8,2,1,2,14,21,68
28000,5,10,1,2,2,18,52,70
42000,5,9,1,1,2,18,47,69
2000,5,3,2,1,2,12,57,63
NA,5,5,2,1,2,16,36,65
20000,6,1,1,2,2,18,57,73
28000,5,6,1,3,2,15,50,66
10000,6,0,1,2,2,17,28,72
0,5,6,1,1,2,16,25,66
31000,6,0,1,2,2,12,59,72
17000,5,9,2,2,2,13,53,69
16000,5,7,2,1,2,12,51,67
35000,5,6,2,1,2,15,52,66
3000,5,7,2,1,2,12,64,67
NA,5,8,2,1,2,11,12,68
NA,6,0,1,1,2,10,39,72
NA,5,10,1,1,2,12,62,70
16000,5,8,2,1,2,18,51,68
35000,5,5,2,2,2,15,48,65
27000,5,2,2,2,2,17,57,62
25000,5,9,1,1,2,17,61,69
0,5,2,2,1,2,14,12,62
40000,5,10,1,1,2,16,49,70
45000,5,6,2,1,2,16,47,66
14000,5,6,1,1,2,12,67,66
NA,NA,NA,2,2,2,16,99,NA
25000,5,6,2,1,2,14,53,66
NA,5,2,2,2,2,12,20,62
40000,6,0,1,1,2,12,48,72
NA,6,2,1,1,2,12,50,74
NA,5,9,1,1,2,10,35,69
34000,5,9,1,1,2,12,55,69
40000,5,6,1,1,2,12,56,66
NA,5,11,1,1,2,16,7,71
35000,5,9,1,1,2,14,62,69
12000,5,0,2,1,1,12,39,60
30000,5,5,2,1,2,17,47,65
23000,5,2,2,1,2,12,50,62
2000,5,7,2,1,2,12,60,67
20000,5,7,1,1,2,14,65,67
10000,5,8,2,2,2,9,28,68
0,5,5,2,2,2,6,23,65
NA,5,3,2,1,2,16,57,63
NA,5,5,2,9,2,12,31,65
NA,5,4,2,4,2,12,71,64
NA,5,6,2,2,2,11,26,66
60000,5,6,2,2,2,16,47,66
12000,6,2,1,2,2,16,49,74
25000,5,5,2,1,2,18,29,65
22000,5,3,2,2,2,14,17,63
0,5,2,2,1,2,12,52,62
8000,5,8,1,1,2,17,65,68
NA,5,8,2,1,2,17,68,68
2000,5,6,2,1,2,16,69,66
NA,5,4,2,1,2,14,60,64
NA,5,1,2,1,2,13,70,61
18600,5,5,2,1,2,16,64,65
20000,5,2,2,1,2,14,70,62
100000,6,1,1,1,2,18,53,73
50000,5,2,2,1,2,15,50,62
27000,5,10,1,1,2,12,48,70
1000,4,10,2,2,2,12,32,58
18000,5,8,1,1,2,12,70,68
17000,5,7,2,1,2,14,67,67
10000,5,4,2,1,2,12,16,64
NA,5,11,1,2,2,16,24,71
NA,5,8,2,1,2,16,53,68
14000,5,10,1,1,2,14,55,70
7200,6,0,1,1,2,14,24,72
NA,5,7,1,1,2,11,39,67
0,5,3,2,9,2,8,38,63
33000,5,3,2,1,2,17,51,63
23000,5,6,1,1,2,12,56,66
10000,5,5,2,1,2,12,49,65
22000,5,1,1,1,2,12,66,61
13000,5,1,2,1,1,12,71,61
33000,5,7,2,1,2,12,59,67
36000,6,1,1,1,2,12,54,73
NA,5,6,2,2,2,10,26,66
10000,5,11,2,2,2,14,58,71
6000,5,4,2,1,2,12,30,64
NA,5,10,1,1,2,11,27,70
12000,5,7,2,1,2,12,47,67
10000,5,2,2,1,2,11,43,62
21000,5,7,2,1,2,12,45,67
26000,5,9,1,1,2,12,58,69
22000,5,6,2,2,2,12,40,66
23000,5,6,2,2,2,15,36,66
20000,5,6,1,1,2,15,66,66
NA,5,4,2,1,2,16,49,64
10000,5,6,2,1,2,13,52,66
15000,5,4,2,1,2,12,19,64
7000,6,0,1,2,2,14,66,72
15000,5,4,2,1,2,12,52,64
0,5,4,2,1,2,12,30,64
26000,5,5,2,1,2,16,56,65
NA,5,8,1,1,2,12,45,68
10000,6,0,1,1,2,11,59,72
NA,5,5,2,1,2,18,48,65
0,5,3,2,1,2,8,33,63
3000,5,11,1,1,2,14,70,71
27000,5,4,2,1,1,17,49,64
NA,5,10,1,2,2,16,38,70
NA,5,6,2,1,2,18,51,66
28000,5,4,2,1,2,17,65,64
NA,5,9,2,1,2,12,68,69
15000,5,7,2,1,2,12,63,67
55000,6,3,1,1,2,18,60,75
20000,5,6,2,1,1,17,64,66
8500,5,7,2,1,2,12,46,67
0,5,8,2,1,2,12,32,68
NA,5,7,2,1,2,13,59,67
NA,6,3,1,2,2,8,49,75
30000,5,11,1,1,2,16,60,71
0,5,2,2,1,2,12,24,62
NA,5,8,2,1,2,13,36,68
NA,5,7,2,1,2,14,72,67
20000,5,8,2,1,2,12,59,68
NA,5,10,2,1,2,15,33,70
22000,5,10,1,1,2,6,15,70
25000,5,7,1,1,2,16,64,67
0,5,4,2,1,2,16,28,64
NA,5,5,2,1,2,13,27,65
NA,5,4,2,2,2,12,57,64
NA,5,5,2,1,2,12,26,65
3000,5,11,1,1,2,8,68,71
16000,5,3,2,1,2,12,41,63
NA,5,10,1,1,2,12,59,70
NA,5,10,1,1,2,14,63,70
0,5,4,2,1,2,12,33,64
10000,5,1,2,2,2,12,51,61
NA,5,8,2,1,2,14,44,68
15000,5,5,2,2,2,12,62,65
28000,5,7,1,1,2,12,44,67
NA,5,7,2,1,2,12,45,67
NA,5,8,2,1,2,12,21,68
NA,4,11,2,1,2,6,14,59
NA,5,8,1,1,2,9,43,68
NA,5,3,2,1,2,12,37,63
31500,5,5,1,1,2,14,55,65
95000,5,6,1,1,2,18,38,66
NA,5,8,1,1,2,17,29,68
NA,5,9,2,1,2,12,37,69
38000,5,7,1,1,2,12,50,67
NA,6,0,1,1,2,8,20,72
NA,5,3,2,1,2,16,17,63
30000,6,2,1,1,2,12,49,74
35900,6,2,1,1,2,16,48,74
12000,5,6,2,1,2,13,68,66
NA,5,8,2,1,2,12,44,68
NA,5,8,2,1,2,16,99,68
NA,6,0,1,1,2,15,55,72
10000,5,9,2,1,2,16,65,69
45000,5,6,2,1,2,18,46,66
NA,5,2,2,1,2,12,71,62
NA,5,8,1,1,2,11,65,68
40000,6,2,1,1,2,16,34,74
NA,5,2,2,1,2,16,48,62
21500,6,0,1,1,2,12,63,72
14000,5,6,1,1,2,12,28,66
38000,5,7,1,4,2,17,36,67
1000,5,5,2,1,2,12,72,65
14000,5,6,1,1,2,12,17,66
15000,5,5,2,1,2,12,59,65
NA,5,0,2,1,2,12,99,60
NA,5,4,2,1,2,16,67,64
0,5,2,2,1,1,12,27,62
NA,5,4,2,1,2,12,20,64
24000,5,8,2,1,2,13,48,68
4500,5,4,2,1,2,16,67,64
18000,5,4,2,1,2,16,27,64
NA,5,10,1,1,2,8,42,70
NA,5,4,2,1,2,12,71,64
14000,5,3,2,1,2,12,70,63
10000,5,9,2,1,2,12,62,69
9500,5,7,2,1,2,12,58,67
11000,5,3,2,1,2,15,24,63
17000,5,7,1,1,2,12,23,67
6000,5,0,2,1,2,13,62,60
2500,5,2,2,1,2,11,32,62
40000,6,0,1,1,2,16,49,72
0,5,7,2,1,2,14,55,67
25000,5,7,1,1,2,16,51,67
NA,NA,NA,1,1,2,13,29,NA
NA,5,8,2,1,2,13,25,68
28000,5,6,2,2,2,15,30,66
33000,5,6,2,2,2,12,45,66
NA,5,8,2,1,2,16,28,68
4000,5,0,2,1,2,8,26,60
0,5,7,2,1,2,12,61,67
4100,5,5,1,1,2,16,60,65
NA,5,0,1,1,2,11,14,60
25000,5,9,2,1,2,12,8,69
32000,6,0,1,1,2,12,62,72
NA,5,5,1,1,1,9,50,65
NA,5,9,1,1,2,14,52,69
13000,5,4,2,1,2,8,32,64
8000,5,4,1,1,1,8,63,64
NA,5,8,1,3,2,12,2,68
0,5,2,2,3,2,17,64,62
NA,5,7,2,1,2,11,24,67
0,5,5,2,1,2,13,34,65
17000,5,4,2,1,2,12,52,64
15000,5,7,2,1,2,12,13,67
18000,5,6,1,1,2,13,58,66
12000,6,1,1,1,2,12,66,73
7000,6,2,1,1,2,7,41,74
0,5,6,2,1,2,12,66,66
1200,5,5,2,1,2,14,68,65
0,6,0,1,1,2,12,72,72
0,5,4,2,1,2,12,72,64
NA,5,2,2,1,2,9,31,62
NA,6,2,1,1,2,11,33,74
14000,5,3,1,1,2,12,69,63
17000,5,3,2,1,2,12,50,63
30000,5,6,1,1,2,12,48,66
NA,5,9,1,1,2,6,29,69
0,6,0,1,1,2,10,27,72
NA,5,2,2,1,2,14,15,62
NA,5,3,2,1,2,14,42,63
NA,5,4,2,1,2,12,9,64
25000,5,10,1,1,2,12,37,70
NA,5,9,1,1,2,12,31,69
22000,5,6,2,1,1,12,57,66
15000,5,3,2,1,2,12,69,63
NA,5,2,2,1,2,16,52,62
27000,6,1,1,1,2,12,99,73
20000,5,3,2,1,2,16,64,63
9000,5,9,2,1,2,11,56,69
0,5,6,2,1,2,14,66,66
17000,6,1,1,1,2,12,60,73
NA,5,5,2,1,2,14,69,65
NA,5,6,2,1,2,15,55,66
NA,5,11,1,1,2,12,69,71
1800,5,8,2,1,2,12,44,68
18000,5,4,2,1,2,12,44,64
25000,5,3,2,1,2,18,48,63
NA,6,0,1,1,2,12,42,72
NA,5,6,2,2,2,14,43,66
20000,5,10,1,2,2,16,49,70
75000,5,4,2,1,2,15,50,64
3500,5,6,2,1,2,12,50,66
36000,5,1,2,1,2,12,19,61
30000,6,0,1,1,2,12,65,72
25000,5,5,2,1,2,13,12,65
1000,5,4,2,1,2,14,64,64
60000,5,8,1,1,2,12,24,68
NA,5,4,2,1,2,12,17,64
35000,6,2,1,1,2,13,14,74
9000,5,7,1,1,2,13,57,67
35000,5,10,1,1,2,9,6,70
11000,5,6,2,1,2,10,32,66
12000,5,11,1,1,2,12,38,71
30000,5,11,1,1,2,12,47,71
19000,5,11,1,2,2,7,33,71
NA,5,7,2,1,2,12,44,67
9000,6,2,1,1,2,9,29,74
30000,6,3,1,1,2,16,61,75
0,5,2,2,1,2,12,57,62
9000,6,0,1,1,2,12,58,72
15000,5,6,2,1,1,16,60,66
8000,5,5,2,2,2,12,59,65
NA,5,10,1,1,2,8,45,70
10000,5,6,2,1,2,10,15,66
NA,5,10,1,1,2,18,37,70
33000,6,0,1,1,2,12,53,72
NA,5,10,1,2,2,10,30,70
NA,6,0,2,2,2,5,7,72
NA,5,4,2,2,2,9,25,64
12000,5,0,2,1,1,12,62,60
18000,5,4,2,1,2,15,53,64
NA,5,1,2,1,1,8,57,61
NA,5,6,2,2,2,12,31,66
30000,5,5,2,1,2,13,29,65
12500,5,5,2,1,2,12,58,65
10000,5,2,2,2,2,12,54,62
8500,5,8,1,2,2,13,19,68
NA,5,7,2,2,2,7,34,67
NA,5,7,2,1,2,13,54,67
21000,6,1,1,2,2,14,44,73
0,5,3,2,1,2,12,61,63
21000,5,4,2,1,2,12,13,64
NA,5,10,1,1,2,12,43,70
NA,5,3,2,1,2,12,58,63
0,5,6,2,1,2,13,66,66
NA,5,1,2,1,2,12,19,61
21000,5,8,2,1,2,17,65,68
0,5,3,2,1,2,13,51,63
5000,5,6,2,1,2,12,38,66
22000,5,11,2,1,2,17,54,71
NA,5,7,1,2,2,8,16,67
30000,6,1,1,1,2,14,64,73
0,5,4,2,1,2,12,62,64
123000,5,1,2,1,2,14,32,61
8000,5,3,2,1,2,9,45,63
0,5,3,2,1,2,9,36,63
0,5,2,2,1,2,8,34,62
2000,5,4,2,1,2,9,65,64
7600,5,7,2,1,2,6,28,67
0,5,7,2,1,2,12,72,67
NA,5,6,2,1,2,8,21,66
NA,6,0,1,1,2,14,68,72
NA,6,1,1,1,2,16,31,73
NA,5,6,2,1,2,15,63,66
NA,5,6,2,2,2,12,60,66
0,5,1,2,1,2,18,45,61
10000,5,3,2,1,2,12,65,63
35000,6,1,1,1,2,12,42,73
NA,5,4,2,1,2,12,64,64
15000,5,6,2,1,2,16,33,66
4000,5,10,2,1,2,12,68,70
16000,5,8,1,1,2,8,66,68
200,5,7,2,1,2,12,57,67
23000,6,2,1,1,2,16,65,74
16000,5,4,2,1,2,16,63,64
0,5,1,2,1,2,12,63,61
0,5,6,2,1,2,12,38,66
6000,5,0,2,1,2,12,41,60
600,4,11,2,1,2,9,44,59
0,5,2,2,2,2,16,54,62
NA,6,2,1,2,2,14,67,74
0,5,2,2,2,2,14,29,62
NA,5,2,2,2,2,12,69,62
0,5,2,2,1,2,12,65,62
28000,6,3,1,4,2,16,56,75
NA,5,6,2,1,2,8,43,66
4000,5,6,2,1,2,8,24,66
15000,5,4,1,1,2,12,55,64
15000,5,11,1,1,2,12,65,71
NA,5,6,2,1,2,18,54,66
NA,5,10,1,1,2,13,29,70
0,5,1,2,1,2,10,55,61
25000,5,3,2,1,2,12,60,63
15000,5,7,2,1,2,12,64,67
NA,6,2,2,1,2,12,41,74
40000,5,9,1,1,2,11,46,69
30000,5,10,1,1,2,11,39,70
5000,5,6,2,1,2,12,61,66
35000,6,2,1,1,2,14,56,74
16000,5,5,2,1,2,14,59,65
NA,5,3,2,1,2,12,54,63
NA,5,8,2,1,2,12,15,68
28000,5,4,2,1,2,16,50,64
20000,5,8,1,1,2,15,48,68
21000,5,6,1,1,2,13,60,66
NA,5,3,2,1,2,12,51,63
17000,5,9,1,2,2,12,48,69
24000,5,0,2,1,2,13,40,60
25000,5,1,2,1,2,12,15,61
40000,6,3,1,1,2,12,44,75
NA,5,10,1,1,2,9,65,70
0,5,3,2,1,1,9,67,63
0,5,9,1,1,2,13,70,69
0,5,6,2,1,2,16,27,66
8000,5,4,2,1,2,13,71,64
NA,5,7,2,1,2,13,64,67
19000,5,3,2,1,1,15,45,63
NA,5,4,2,1,2,12,14,64
NA,5,4,2,1,1,11,54,64
45000,5,7,2,1,2,16,21,67
5000,5,4,1,2,2,17,57,64
0,6,0,1,1,2,14,69,72
24000,5,3,2,2,2,14,50,63
5000,5,7,2,1,2,14,71,67
NA,5,3,2,1,1,14,48,63
33000,5,6,1,1,2,16,56,66
24000,5,5,2,1,2,14,66,65
6000,5,3,2,1,2,13,67,63
