kid_score,mom_hs,mom_iq,mom_work,mom_age
65,1,121.11752860260343,4,27
98,1,89.36188171006634,4,25
85,1,115.4431648817251,4,27
83,1,99.44963943607226,3,25
115,1,92.7457099982118,4,27
98,0,107.90183775850065,1,18
69,1,138.8931060711617,4,20
106,1,125.14511947532814,3,23
102,1,81.61952617898433,1,24
95,1,95.07306862064961,1,19
91,1,88.5769977185567,1,23
58,1,94.85970819436709,4,24
84,1,88.96280085095957,4,27
78,1,114.11429701233251,4,26
102,0,100.53407191524542,2,24
110,1,120.41914559108622,1,26
102,1,114.42687689144685,3,23
99,1,111.59235758083103,3,26
105,1,133.84922720815874,4,20
101,0,97.26480106346729,3,17
102,1,110.09680614075009,4,21
115,1,126.72399416983991,2,26
100,1,97.91159030926278,2,20
87,1,99.92572516031335,4,23
99,0,97.59500805215109,4,19
96,1,121.7480134604788,4,27
72,1,98.74807869899344,3,21
78,1,97.91525432916714,4,22
77,1,80.35855646323358,2,24
98,1,114.30786063392675,2,22
69,1,109.1383163029714,1,27
130,1,101.81717973393945,2,23
109,1,117.96510431322658,3,27
106,0,108.63349691304843,2,22
92,1,96.528619145464,3,27
100,1,92.87137546616418,4,22
107,1,95.89813428758863,4,27
86,1,107.0154577305767,4,25
90,1,87.19701174528585,1,22
110,1,89.36188171006634,4,25
107,1,102.53098784624567,2,21
113,1,130.16686023538787,3,24
65,1,83.41410259803364,3,22
102,1,125.75346623026022,1,24
103,0,85.81037656158271,4,27
111,1,126.52007262869549,4,28
42,1,79.20304810485698,4,21
100,1,113.16590717569612,1,23
67,1,110.3313878650803,1,26
92,1,99.40922374005459,4,28
100,1,102.42552648887153,2,24
110,1,124.90043774985564,3,27
56,1,94.85970819436709,4,24
107,1,92.36856455016738,3,29
97,1,101.81717973393945,1,23
56,0,79.83353296273235,1,21
95,1,96.22613926749196,2,21
78,0,82.35547239423383,4,21
76,0,76.57564731598137,1,24
86,1,110.01348288631927,1,23
79,1,111.59235758083103,4,26
81,1,113.65740736822691,4,17
79,0,101.1645567731208,4,24
79,1,101.34109400969837,4,25
56,1,101.69816347641935,2,22
52,1,98.81915457819689,2,25
63,1,93.49819630413519,2,20
80,1,87.29388989986265,4,24
87,1,87.31602800280595,4,23
88,1,86.20945742068949,2,25
92,1,89.83796743430743,4,23
100,0,121.87001490852683,1,20
94,0,127.54437862940516,4,20
117,1,109.99134478337596,4,24
102,1,90.4463141892395,4,24
107,1,88.89490269731773,4,26
99,1,113.04689091817602,4,22
73,0,78.01315426830968,4,25
56,1,95.3896508777613,1,20
78,0,83.61644210998456,2,21
94,0,86.24628061039442,2,19
110,1,95.3896508777613,4,20
109,1,111.25231449912671,4,24
86,1,127.01443594601095,1,24
92,1,89.95195087192404,2,28
91,1,99.27310219949469,2,24
123,1,81.16557855768653,1,25
102,1,110.52128746677018,3,20
105,1,136.4938469170848,4,23
114,1,123.86201165663411,1,24
96,1,134.6023923434587,1,23
66,1,91.09893715005818,3,23
104,1,103.26937177302942,2,19
108,1,126.28707293355879,3,22
84,1,127.54437862940516,4,20
83,0,92.47389030342552,4,28
83,1,84.79408857130447,4,23
92,0,100.53407191524542,2,24
109,0,108.00301205517306,4,22
95,0,78.80714497131181,1,26
93,1,121.11752860260343,4,27
114,1,103.0560113467469,2,24
106,1,100.43719376066862,2,22
87,1,88.5548596156134,2,24
65,1,85.30555717165974,4,22
95,1,119.44861765150651,3,24
61,1,90.55177554661364,2,21
73,1,96.33403833640034,4,19
112,1,127.64492080388632,4,24
113,1,119.8565588868527,4,27
49,0,112.01892089756197,1,28
105,1,92.5143059994432,4,25
122,1,96.02379975554103,4,22
96,1,91.41684212881921,4,26
97,1,103.0781494496902,2,23
94,1,100.24363013907438,3,26
117,1,89.81582933136413,4,24
136,1,115.05736174932223,4,23
85,0,96.65062059351204,4,20
116,1,105.57795077824838,4,24
106,1,97.7216907075729,4,26
99,1,131.83577118648498,4,27
94,1,101.81717973393945,1,23
89,1,93.49819630413519,4,20
119,1,104.02653928632661,4,26
112,1,103.70863430756557,4,23
104,0,107.36886317739332,2,20
92,1,92.55112918914813,2,19
86,1,94.44258376277423,2,19
69,1,93.14479085731855,4,25
45,1,83.41410259803364,4,22
57,1,71.03740513566295,2,28
94,1,127.66705890682962,1,23
104,1,115.6878466071976,4,23
89,0,90.97625687263371,1,20
144,1,132.8653369034668,3,25
52,1,72.50229639255812,1,26
102,1,100.710609151823,4,25
106,1,132.68879966688934,3,24
98,1,98.54573918704251,2,22
97,1,115.6657085042543,3,24
94,1,117.06279976056493,3,28
111,1,136.4938469170848,3,23
100,1,106.54847871782808,2,26
105,1,134.12630661921753,2,25
90,1,104.65702414420197,4,26
98,1,99.37856355686881,2,21
121,1,100.43719376066862,1,22
106,1,89.5253875551931,4,26
121,1,120.92294779353976,4,19
102,1,113.14376907275282,4,24
64,1,126.41474687543734,1,29
99,1,122.73716348144326,4,28
81,1,115.37526672808326,4,26
69,1,91.60674173050909,2,20
84,1,88.66032097298752,2,21
104,1,107.17896357570345,3,26
104,1,104.96960402331631,4,23
107,1,103.86303344119985,4,25
88,1,110.09680614075009,4,21
67,0,88.45431744113223,1,20
103,0,117.03213957737916,1,21
94,1,125.65658807568342,4,22
109,1,122.60104194088336,4,24
94,1,121.04963044896158,3,26
98,1,93.14479085731855,3,25
102,1,99.37856355686881,3,21
104,1,123.89280744393587,4,29
114,0,113.04322689827166,2,20
87,1,115.77116986162842,3,21
102,1,114.93834549180212,4,22
77,1,93.62087658155966,4,23
109,1,121.7480134604788,1,27
94,1,90.3494360346627,4,22
93,0,83.41043857812927,2,20
86,1,99.4864626257772,4,19
97,1,113.91037547118809,4,28
97,1,97.59500805215109,4,19
88,1,89.81582933136413,4,24
103,1,119.58473919206641,4,28
87,0,97.38164762586857,2,24
87,1,84.87741182573531,4,21
90,1,102.32864833429473,4,22
65,1,99.27310219949469,4,24
111,0,99.07504974824548,4,18
109,1,96.92770000457078,3,25
87,1,108.31325063603236,2,19
58,1,100.53407191524542,4,24
87,1,99.4864626257772,4,19
113,1,113.9876143569107,3,19
64,0,92.77020116949177,4,18
78,0,88.02983611511216,4,21
97,0,106.11155748154695,4,22
95,0,103.23254858332447,3,25
75,1,99.29524030243797,4,23
91,0,106.74204233942231,3,22
99,1,99.17256002501352,2,20
108,1,102.44766459181483,1,23
95,1,92.86771144625982,4,20
100,1,116.82613604552387,4,20
85,1,85.42457342917984,1,23
97,0,115.56516632977313,2,20
108,1,113.17456486005457,4,29
90,1,106.86105859694243,1,23
100,1,95.8302361339468,3,26
82,0,77.10925401927993,1,22
94,1,89.2908058308629,2,21
95,1,112.41274204039628,4,20
119,1,110.64396774419464,1,23
98,1,109.53739716207818,1,25
100,0,107.90183775850065,1,18
112,1,104.96960402331631,2,23
136,0,107.68276577815699,2,19
122,1,109.46632128287473,2,21
126,1,133.53264495104742,1,19
116,1,128.8090123650602,2,22
98,1,101.27001813049492,4,21
94,1,87.31602800280595,4,23
93,1,118.09076978117898,4,22
90,1,120.25563974595946,2,25
70,1,90.34577201475834,4,20
110,1,79.9046088419358,4,25
104,1,136.57717017151538,4,21
83,1,102.42552648887153,2,24
99,1,132.68879966688934,4,24
81,1,96.29721514669541,3,25
104,1,118.20978603869908,4,23
109,1,118.09076978117898,4,22
113,1,101.50459985482513,2,26
95,0,94.33468469386585,2,21
74,1,84.67140829388,1,20
81,1,86.76886639936141,2,21
89,1,129.24593360134145,4,26
93,1,127.78104234444622,4,28
102,1,106.86105859694243,2,23
95,1,105.75448801482595,1,25
85,1,117.03213957737916,4,21
97,1,119.35173949692971,2,22
92,1,102.76556957057586,1,26
78,0,108.20535156712398,3,21
104,1,126.41474687543734,4,29
120,1,101.90050298837029,2,21
83,0,99.15625563709341,2,17
105,1,91.81274526236437,1,21
68,1,84.14146561048581,4,24
104,1,84.35482603676832,4,19
80,1,79.11972485042614,2,23
120,1,91.41684212881921,4,26
94,1,90.4463141892395,2,24
81,1,79.00070859290605,4,22
101,1,109.26398177092379,4,22
61,1,76.75218455255894,4,25
68,1,97.59500805215109,4,19
110,1,128.8090123650602,4,22
89,0,113.65740736822691,1,17
98,0,114.20668633725435,2,18
113,1,112.51328421487744,4,24
50,0,75.33681570317393,1,23
57,0,81.52264802440752,2,22
86,1,102.63888691515405,4,19
83,1,101.1866948760641,1,23
106,1,112.22284243870641,4,26
106,0,123.40806403533631,3,25
104,1,86.56652688741049,3,22
78,1,100.11694748365257,2,19
99,1,102.32864833429473,3,22
91,1,87.94651286068132,1,23
40,0,80.25801428875242,1,20
42,0,80.25801428875242,1,20
69,1,91.07679904711487,4,24
84,1,85.57897256281413,4,25
58,1,113.16590717569612,4,23
42,1,112.05933659357966,2,25
72,1,101.27001813049492,3,21
80,0,81.83288660526684,1,19
58,0,81.09450267848308,3,21
52,1,81.3290844028133,4,26
101,1,120.6090451927761,3,20
63,1,102.44766459181483,4,23
73,1,90.97625687263371,2,20
68,1,103.70863430756557,4,23
60,1,102.32864833429473,4,22
69,1,121.87001490852683,4,20
73,0,88.66032097298752,1,21
75,0,90.02918975764665,1,19
20,0,83.53311885555374,2,23
56,1,91.92064433127275,2,19
49,1,87.1933477253815,1,20
71,0,80.46401782060772,4,21
46,0,84.31800284706338,1,25
54,0,77.7397388771553,3,22
54,0,82.27214913980299,1,23
44,1,77.38266941043432,4,25
74,1,89.71528715688298,3,20
58,0,79.9046088419358,2,25
46,1,82.15313288228289,4,22
76,0,80.26167830865678,2,22
43,0,77.38266941043432,4,25
60,0,82.78361774015826,4,22
58,1,89.20748257643206,4,23
89,1,89.08846631891197,4,22
43,0,88.98729202223956,2,18
94,1,118.92359415100526,1,21
88,1,83.85102383431477,4,26
79,1,84.04458745590901,4,22
87,1,105.05292727774714,4,21
46,1,107.9993480352687,4,20
95,1,97.38164762586857,4,24
92,1,103.7919575619964,4,21
42,0,97.59500805215109,4,19
62,1,88.66032097298752,2,21
52,1,107.2468617293453,2,27
101,1,89.83796743430743,2,23
97,1,108.9069123042028,4,25
85,1,100.63953327261954,3,21
98,1,118.84027089657445,1,23
94,1,95.51233115518576,2,23
90,1,84.77195046836118,2,24
72,1,100.74743234152794,1,19
92,1,87.00344812369163,1,26
75,0,77.8587551346754,4,23
83,1,85.30189315175538,4,20
64,1,92.77020116949177,1,18
101,1,74.86072997893284,4,25
82,1,115.24858407266143,4,19
77,1,107.37252719729769,4,22
101,1,102.20298286634234,4,27
50,1,97.91159030926278,4,20
90,1,96.85662412536733,4,21
103,1,111.46567492540922,2,19
96,1,109.46632128287473,3,21
50,1,82.2500110368597,4,24
47,1,92.77020116949177,4,18
73,1,115.5688303496775,2,22
62,0,84.04458745590901,4,22
77,1,116.19931520755287,4,22
64,1,99.29524030243797,4,23
52,1,87.1933477253815,2,20
61,1,76.71176885654127,4,28
86,1,80.69859954493792,2,26
41,0,82.46337146314221,1,19
83,1,85.17989170370736,4,27
64,1,93.0737149781151,4,21
83,1,88.5769977185567,4,23
116,1,103.0560113467469,4,24
100,0,86.8767654682698,3,19
42,0,97.91525432916714,4,22
74,1,120.92294779353976,4,19
76,1,91.72942200793354,4,23
92,1,87.50725032614517,4,19
98,1,90.4463141892395,4,24
96,1,84.16360371342911,3,23
67,1,96.65428461341641,4,22
84,1,95.70355347852498,2,19
111,1,88.76822004189592,4,19
41,0,92.13971631161641,1,18
68,1,108.00301205517306,3,22
107,1,80.38935225053535,3,29
82,0,99.80304488288888,4,20
89,1,90.02918975764665,4,19
83,1,93.93878156032069,4,26
73,1,103.70863430756557,4,23
74,1,77.10925401927993,4,22
94,1,117.5571630778804,2,24
58,1,79.83353296273235,2,21
76,1,83.61644210998456,2,21
61,1,88.73139685219097,4,25
38,1,82.78361774015826,4,22
100,1,86.8767654682698,4,19
84,1,88.73139685219097,4,25
99,1,92.24089060828881,4,22
86,1,90.55177554661364,1,21
94,1,84.14146561048581,4,24
90,1,93.0737149781151,2,21
50,0,85.8348677328627,2,18
112,1,98.85597776790182,4,19
58,1,95.51233115518576,2,23
87,1,101.067678618544,2,22
76,1,85.93237800963075,1,20
68,1,82.78361774015826,2,22
110,1,98.66475544456262,2,23
88,0,82.14946886237854,3,20
87,0,85.61579575251906,1,19
54,0,79.43762982918719,1,26
49,0,75.33681570317393,1,23
56,1,80.89216316653216,2,22
79,1,115.77116986162842,3,21
82,1,97.15910400333938,4,27
80,0,80.89216316653216,1,22
60,1,79.50552798282902,4,27
102,1,98.01213248374394,4,24
87,1,108.86649660818513,4,28
42,0,80.69859954493792,4,26
119,1,100.74743234152794,4,19
84,1,91.09893715005818,4,23
86,1,82.9859572521092,1,21
113,1,89.71528715688298,4,20
72,1,131.01070551954592,4,19
104,1,124.51463461745277,4,23
94,1,91.61040575041345,4,22
78,0,92.99039172368428,1,23
80,0,91.88382114156782,1,25
67,0,88.6909811561733,1,28
104,1,126.09350931196454,3,26
96,0,84.98531089464369,3,19
65,0,82.9859572521092,1,21
64,1,101.79504163099617,3,24
95,1,100.24363013907438,2,26
56,1,110.01348288631927,4,23
75,0,88.5769977185567,2,23
91,1,106.74204233942231,3,22
106,1,95.29214060099325,2,18
76,1,108.31325063603236,1,19
90,1,110.3313878650803,3,26
108,1,116.82980006542823,4,22
86,0,86.68554314493059,1,23
85,1,96.85662412536733,2,21
104,0,90.2482617379903,1,18
87,1,89.2908058308629,4,21
41,0,74.23024512105746,1,25
106,0,91.88382114156782,4,25
76,0,96.46072099182217,3,26
100,0,97.40378572881187,4,23
89,1,131.53329130851242,4,21
42,1,78.24455826707828,2,27
102,1,127.67571659118808,4,29
104,1,124.51463461745277,4,23
59,0,80.46401782060772,4,21
93,0,74.86072997893284,2,25
94,0,84.87741182573531,4,21
76,1,92.99039172368428,4,23
50,0,94.85970819436709,2,24
88,1,96.85662412536733,2,21
70,1,91.25333628369245,2,25
